strand_index,shape_index,length,start_index,end_index,x1,y1,z1,x2,y2,z2
0,0,82,0,81,0.967709170482,0.252069358243,0.0,0.441505852792,0.897258369674,0.0
0,0,44,82,125,0.441505852792,0.897258369674,0.0,0.556004582248,0.737843001669,0.382683432365
0,0,43,126,168,0.556004582248,0.737843001669,0.382683432365,0.894046696032,0.232881720854,0.382683432365
0,1,43,169,211,0.887447443865,0.231162744421,0.398749068925,0.53903438719,0.74191718504,0.398749068925
0,1,43,212,254,0.53903438719,0.74191718504,0.398749068925,0.354652911406,0.597303577823,0.719339800339
0,1,43,255,297,0.354652911406,0.597303577823,0.719339800339,0.404508497187,0.293892626146,0.866025403784
0,2,43,298,340,0.392219221816,0.28496394495,0.874619707139,0.348189432757,0.586417839125,0.731353701619
0,2,48,341,388,0.348189432757,0.586417839125,0.731353701619,0.0629965891566,0.679082611236,0.731353701619
0,2,49,389,437,0.0629965891566,0.679082611236,0.731353701619,-0.154508497187,0.475528258148,0.866025403784
0,2,43,438,480,-0.154508497187,0.475528258148,0.866025403784,-0.0536602379413,0.165149230913,0.984807753012
0,2,60,481,540,-0.0536602379413,0.165149230913,0.984807753012,0.140484326775,0.10206783792,0.984807753012
1,3,31,695,725,0.227481926109,0.969874141216,0.0871557427477,0.109391002886,0.917380509429,0.382683432365
1,3,31,726,756,0.109391002886,0.917380509429,0.382683432365,0.148792145415,0.751455245704,0.642787609687
1,3,36,757,792,0.148792145415,0.751455245704,0.642787609687,0.321318936913,0.695397893019,0.642787609687
1,3,30,793,822,0.321318936913,0.695397893019,0.642787609687,0.450723553816,0.806474840667,0.382683432365
1,3,31,823,853,0.450723553816,0.806474840667,0.382683432365,0.386040972651,0.918355183979,0.0871557427477
1,3,35,854,888,0.386040972651,0.918355183979,0.0871557427477,0.227481926109,0.969874141216,0.0871557427477
1,4,43,889,931,0.187381314586,0.982287250729,0.0,5.65713056144e-17,0.923879532511,0.382683432365
1,4,44,932,975,5.65713056144e-17,0.923879532511,0.382683432365,0.0653158687656,0.704083686281,0.707106781187
1,4,48,976,1023,0.0653158687656,0.704083686281,0.707106781187,0.361008359342,0.608007372065,0.707106781187
1,4,43,1024,1066,0.361008359342,0.608007372065,0.707106781187,0.543042764105,0.747434242557,0.382683432365
1,4,44,1067,1110,0.543042764105,0.747434242557,0.382683432365,0.425779291565,0.904827052466,0.0
1,4,48,1111,1158,0.425779291565,0.904827052466,0.0,0.187381314586,0.982287250729,0.0
1,5,43,1159,1201,0.170209499166,0.985407898483,0.0,-0.0161239211005,0.923738821184,0.382683432365
1,5,53,1202,1254,-0.0161239211005,0.923738821184,0.382683432365,-0.529915529875,0.756797807733,0.382683432365
1,5,40,1255,1294,-0.529915529875,0.756797807733,0.382683432365,-0.71691060765,0.697165102855,0.0
1,5,95,1295,1389,-0.71691060765,0.697165102855,0.0,0.170209499166,0.985407898483,0.0
2,6,28,1390,1417,-0.62772191455,0.677878004206,0.382683432365,-0.754114460922,0.650934141319,0.0871557427477
2,6,25,1418,1442,-0.754114460922,0.650934141319,0.0871557427477,-0.852109340909,0.516055760206,0.0871557427477
